cpu_temp,temp_h,temp_p,humidity,pressure,mag_x,mag_y,mag_z,timestamp

46.7,30.776851654052734,0,58.25416564941406,0,-6.3980278968811035,-2.6363353729248047,5.112193584442139,2017-06-30 09:04:57.730253

46.2,30.901103973388672,28.399999618530273,55.090309143066406,1000.359375,-11.796394348144531,-4.79655647277832,8.837514877319336,2017-06-30 09:05:07.815792

46.2,31.078609466552734,28.56458282470703,54.417762756347656,1000.3271484375,-16.133726119995117,-6.547379016876221,11.937858581542969,2017-06-30 09:05:17.900132

46.2,31.238365173339844,28.704166412353516,54.566009521484375,1000.336669921875,-19.488569259643555,-7.808437824249268,14.295551300048828,2017-06-30 09:05:27.981273

46.7,31.451374053955078,28.856250762939453,53.97301483154297,1000.320556640625,-22.155323028564453,-8.929590225219727,15.97237777709961,2017-06-30 09:05:38.065845

46.2,31.451374053955078,28.993749618530273,53.636741638183594,1000.323486328125,-24.230457305908203,-9.71542739868164,17.563369750976562,2017-06-30 09:05:48.152628

46.2,31.611129760742188,29.125,52.67854309082031,1000.316162109375,-25.84765625,-10.315802574157715,18.59891128540039,2017-06-30 09:05:58.243430

47.2,31.682130813598633,29.24791717529297,52.99312210083008,1000.276123046875,-27.282033920288086,-10.985920906066895,19.5087890625,2017-06-30 09:06:08.309076

47.2,31.912887573242188,29.368749618530273,52.645999908447266,1000.249267578125,-28.386625289916992,-11.325858116149902,20.384626388549805,2017-06-30 09:06:18.418449

47.2,32.054893493652344,29.491666793823242,51.77458190917969,1000.243896484375,-29.17986488342285,-11.694658279418945,20.99988555908203,2017-06-30 09:06:28.480770

52.6,32.232398986816406,29.602083206176758,51.96984100341797,1000.23974609375,-29.953542709350586,-11.902605056762695,21.318471908569336,2017-06-30 09:06:38.580828

56.9,32.26789855957031,29.727083206176758,51.55763244628906,1000.242919921875,-30.511213302612305,-12.087379455566406,21.772382736206055,2017-06-30 09:06:48.639940

54.8,32.40990447998047,29.852083206176758,51.637184143066406,1000.246337890625,-30.912309646606445,-12.330870628356934,21.88365364074707,2017-06-30 09:06:58.721412

